Source	Target	MI
ENSG00000133392	HSA-MIR-1-1	0.268911
ENSG00000145936	HSA-MIR-1-2	0.258417
ENSG00000181409	HSA-MIR-338	0.253327
ENSG00000174307	HSA-MIR-34A	0.247994
ENSG00000135838	HSA-MIR-452	0.244681
ENSG00000120656	HSA-MIR-1296	0.237055
ENSG00000103942	HSA-MIR-29C	0.231278
ENSG00000196214	HSA-MIR-152	0.230658
ENSG00000135838	HSA-MIR-30A	0.228502
ENSG00000145936	HSA-MIR-1-1	0.226341
ENSG00000130176	HSA-MIR-1-1	0.223833
ENSG00000093144	HSA-MIR-708	0.22376
ENSG00000162654	HSA-MIR-874	0.219616
ENSG00000065675	HSA-MIR-708	0.218927
ENSG00000107077	HSA-MIR-19B-2	0.218388
ENSG00000100628	HSA-MIR-1-1	0.217883
ENSG00000080224	HSA-MIR-190A	0.216853
ENSG00000113946	HSA-MIR-338	0.216749
ENSG00000146021	HSA-MIR-874	0.215954
ENSG00000081051	HSA-MIR-15A	0.215217
ENSG00000139988	HSA-MIR-130A	0.215214
ENSG00000143569	HSA-MIR-126	0.214956
ENSG00000170775	HSA-MIR-505	0.213749
ENSG00000196542	HSA-MIR-150	0.213725
ENSG00000123684	HSA-MIR-708	0.213467
ENSG00000185730	HSA-MIR-26A-1	0.212961
ENSG00000131080	HSA-MIR-34A	0.211367
ENSG00000196092	HSA-MIR-150	0.211332
ENSG00000102900	HSA-MIR-190A	0.210672
ENSG00000141052	HSA-MIR-1-1	0.210556
ENSG00000143891	HSA-MIR-505	0.210069
ENSG00000275700	HSA-MIR-505	0.209853
ENSG00000166741	HSA-MIR-143	0.208797
ENSG00000135373	HSA-MIR-15A	0.207826
ENSG00000130876	HSA-MIR-874	0.207815
ENSG00000178038	HSA-MIR-874	0.204882
ENSG00000005379	HSA-MIR-708	0.204149
ENSG00000071909	HSA-MIR-103A-1	0.203734
ENSG00000176153	HSA-MIR-214	0.203539
ENSG00000115084	HSA-MIR-190A	0.203097
ENSG00000186051	HSA-MIR-223	0.202863
ENSG00000160293	HSA-MIR-22	0.201822
ENSG00000145779	HSA-MIR-30A	0.201705
ENSG00000163431	HSA-MIR-1-1	0.201666
ENSG00000119523	HSA-MIR-224	0.201406
ENSG00000002834	HSA-MIR-505	0.201084
ENSG00000185774	HSA-MIR-200B	0.200632
ENSG00000181090	HSA-MIR-452	0.200176
ENSG00000213064	HSA-MIR-708	0.200029
ENSG00000167580	HSA-MIR-301A	0.199314
ENSG00000083857	HSA-MIR-708	0.199178
ENSG00000000003	HSA-MIR-203B	0.198518
ENSG00000147676	HSA-MIR-190A	0.198452
ENSG00000183077	HSA-MIR-505	0.198209
ENSG00000135070	HSA-MIR-505	0.198002
ENSG00000154553	HSA-MIR-1-2	0.197961
ENSG00000066926	HSA-MIR-4662A	0.197933
ENSG00000198889	HSA-MIR-3613	0.197373
ENSG00000093010	HSA-MIR-363	0.197303
ENSG00000134504	HSA-MIR-30A	0.196979
ENSG00000071909	HSA-MIR-103A-2	0.196809
ENSG00000077514	HSA-MIR-30A	0.196669
ENSG00000151948	HSA-MIR-15A	0.196638
ENSG00000056972	HSA-MIR-30A	0.196174
ENSG00000186666	HSA-MIR-452	0.195469
ENSG00000169871	HSA-MIR-708	0.195465
ENSG00000158869	HSA-MIR-450A-1	0.195377
ENSG00000113552	HSA-MIR-30A	0.19484
ENSG00000138160	HSA-MIR-708	0.194435
ENSG00000165905	HSA-MIR-452	0.194324
ENSG00000198625	HSA-MIR-186	0.194267
ENSG00000173598	HSA-MIR-362	0.194114
ENSG00000163590	HSA-MIR-139	0.193658
ENSG00000115419	HSA-MIR-190A	0.1936
ENSG00000182557	HSA-MIR-511	0.193465
ENSG00000118514	HSA-MIR-23A	0.193395
ENSG00000170234	HSA-MIR-22	0.193264
ENSG00000106819	HSA-MIR-30A	0.19322
ENSG00000076928	HSA-MIR-217	0.193103
ENSG00000205710	HSA-MIR-1296	0.192797
ENSG00000177459	HSA-MIR-30A	0.192706
ENSG00000103187	HSA-MIR-22	0.192594
ENSG00000198889	HSA-MIR-4662A	0.192476
ENSG00000132359	HSA-MIR-4662A	0.19226
ENSG00000171204	HSA-MIR-744	0.191993
ENSG00000147912	HSA-MIR-187	0.191919
ENSG00000172236	HSA-MIR-204	0.191504
ENSG00000147676	HSA-MIR-30A	0.191266
ENSG00000241233	HSA-MIR-514A-2	0.19104
ENSG00000107077	HSA-MIR-19B-1	0.190879
ENSG00000145936	HSA-MIR-143	0.190692
ENSG00000156804	HSA-MIR-143	0.190544
ENSG00000165915	HSA-MIR-30A	0.190489
ENSG00000197965	HSA-MIR-708	0.190448
ENSG00000143771	HSA-MIR-708	0.190379
ENSG00000115084	HSA-MIR-598	0.190193
ENSG00000115966	HSA-MIR-29B-2	0.190159
ENSG00000198889	HSA-MIR-203B	0.190085
ENSG00000160691	HSA-MIR-708	0.190002
ENSG00000254122	HSA-MIR-187	0.189825
ENSG00000130304	HSA-MIR-30E	0.189329
ENSG00000151532	HSA-MIR-29C	0.188874
ENSG00000103811	HSA-MIR-190A	0.188734
ENSG00000196923	HSA-MIR-505	0.188688
ENSG00000087258	HSA-MIR-190A	0.188604
ENSG00000176974	HSA-MIR-505	0.188596
ENSG00000198815	HSA-MIR-15A	0.18858
ENSG00000163431	HSA-MIR-1-2	0.188544
ENSG00000133477	HSA-MIR-135B	0.188536
ENSG00000100889	HSA-MIR-22	0.188351
ENSG00000198478	HSA-MIR-532	0.188326
ENSG00000170348	HSA-MIR-25	0.188027
ENSG00000016402	HSA-MIR-338	0.187923
ENSG00000135956	HSA-MIR-190A	0.187706
ENSG00000111145	HSA-MIR-26A-2	0.187658
ENSG00000166741	HSA-MIR-874	0.187372
ENSG00000177054	HSA-MIR-190A	0.1872
ENSG00000143891	HSA-MIR-190A	0.187104
ENSG00000185730	HSA-MIR-26A-2	0.186546
ENSG00000101266	HSA-MIR-133A-2	0.186409
ENSG00000160691	HSA-MIR-224	0.186402
ENSG00000184792	HSA-MIR-424	0.186334
ENSG00000198523	HSA-MIR-1-1	0.186212
ENSG00000168038	HSA-MIR-30A	0.186207
ENSG00000168065	HSA-MIR-98	0.186167
ENSG00000176387	HSA-MIR-1269A	0.18616
ENSG00000162460	HSA-MIR-502	0.186125
ENSG00000163531	HSA-MIR-143	0.185444
ENSG00000165186	HSA-MIR-1-2	0.185428
ENSG00000133392	HSA-MIR-1-2	0.18537
