Source	Target	MI
ENSG00000149256	HSA-MIR-708	0.316537
ENSG00000106484	HSA-MIR-335	0.297625
ENSG00000141458	HSA-MIR-126	0.257891
ENSG00000163517	HSA-MIR-196A-1	0.248556
ENSG00000155085	HSA-MIR-7-1	0.246672
ENSG00000159307	HSA-MIR-629	0.245391
ENSG00000051523	HSA-MIR-337	0.241717
ENSG00000161180	HSA-MIR-19A	0.227256
ENSG00000197714	HSA-MIR-217	0.226099
ENSG00000119912	HSA-MIR-30D	0.225636
ENSG00000100726	HSA-MIR-326	0.224002
ENSG00000138696	HSA-MIR-296	0.222725
ENSG00000065613	HSA-MIR-214	0.222255
ENSG00000179603	HSA-MIR-592	0.220935
ENSG00000165443	HSA-MIR-338	0.219611
ENSG00000165140	HSA-MIR-664A	0.219433
ENSG00000119632	HSA-MIR-20B	0.218574
ENSG00000111412	HSA-MIR-190A	0.216591
ENSG00000083067	HSA-MIR-204	0.21544
ENSG00000132823	HSA-MIR-92B	0.214722
ENSG00000254521	HSA-MIR-210	0.214533
ENSG00000120068	HSA-MIR-10A	0.214219
ENSG00000101246	HSA-MIR-758	0.21153
ENSG00000162526	HSA-MIR-195	0.209202
ENSG00000078399	HSA-MIR-196B	0.207116
ENSG00000165406	HSA-MIR-30A	0.206823
ENSG00000205784	HSA-MIR-19B-2	0.206415
ENSG00000154144	HSA-MIR-27A	0.203885
ENSG00000169131	HSA-MIR-1307	0.201625
ENSG00000162929	HSA-MIR-27A	0.200839
ENSG00000136944	HSA-MIR-342	0.199481
ENSG00000172366	HSA-MIR-181B-1	0.19916
ENSG00000184613	HSA-MIR-22	0.198901
ENSG00000100083	HSA-MIR-199A-2	0.198822
ENSG00000158042	HSA-MIR-214	0.198466
ENSG00000184436	HSA-MIR-20B	0.196863
ENSG00000099785	HSA-MIR-224	0.196479
ENSG00000164122	HSA-MIR-33A	0.19604
ENSG00000112308	HSA-MIR-576	0.19596
ENSG00000143224	HSA-MIR-107	0.195543
ENSG00000196812	HSA-MIR-887	0.195444
ENSG00000179195	HSA-MIR-330	0.194802
ENSG00000253485	HSA-LET-7B	0.19441
ENSG00000260027	HSA-MIR-10A	0.193894
ENSG00000130827	HSA-MIR-190A	0.193249
ENSG00000036530	HSA-MIR-889	0.192658
ENSG00000146859	HSA-MIR-187	0.19198
ENSG00000099822	HSA-MIR-151B	0.191679
ENSG00000088833	HSA-MIR-214	0.19118
ENSG00000167633	HSA-MIR-133A-2	0.18998
ENSG00000177459	HSA-MIR-99A	0.189878
ENSG00000112137	HSA-MIR-3613	0.189232
ENSG00000168228	HSA-MIR-122	0.189063
ENSG00000187714	HSA-MIR-203B	0.188894
ENSG00000164331	HSA-MIR-99B	0.188736
ENSG00000137726	HSA-MIR-1307	0.18872
ENSG00000187010	HSA-MIR-584	0.188416
ENSG00000072736	HSA-MIR-20B	0.188311
ENSG00000253293	HSA-MIR-196B	0.188304
ENSG00000137077	HSA-MIR-365A	0.188295
ENSG00000166183	HSA-MIR-203A	0.188257
ENSG00000157601	HSA-MIR-326	0.188162
ENSG00000155313	HSA-MIR-26A-1	0.187883
ENSG00000196367	HSA-MIR-32	0.187631
ENSG00000127329	HSA-MIR-133A-2	0.187617
ENSG00000173715	HSA-MIR-23A	0.187594
ENSG00000169710	HSA-MIR-766	0.187505
ENSG00000257108	HSA-MIR-193B	0.187439
ENSG00000133316	HSA-MIR-369	0.187364
ENSG00000198833	HSA-MIR-339	0.187176
ENSG00000019144	HSA-MIR-374A	0.186583
ENSG00000152348	HSA-MIR-127	0.186399
ENSG00000148303	HSA-MIR-20B	0.186055
ENSG00000204438	HSA-MIR-1-2	0.185961
ENSG00000130706	HSA-MIR-369	0.185795
ENSG00000188522	HSA-MIR-381	0.185789
ENSG00000103197	HSA-LET-7F-1	0.185398
ENSG00000272047	HSA-MIR-199A-1	0.185327
ENSG00000215421	HSA-MIR-874	0.185107
ENSG00000164169	HSA-MIR-874	0.184834
ENSG00000168772	HSA-MIR-450B	0.184816
ENSG00000100083	HSA-MIR-199B	0.1846
ENSG00000149972	HSA-MIR-186	0.184524
ENSG00000103197	HSA-LET-7F-2	0.184498
ENSG00000179886	HSA-MIR-598	0.184485
ENSG00000100034	HSA-MIR-345	0.184335
ENSG00000177873	HSA-MIR-151B	0.184191
ENSG00000198049	HSA-MIR-30C-1	0.184093
ENSG00000117899	HSA-MIR-296	0.184084
ENSG00000243927	HSA-MIR-345	0.184012
ENSG00000082641	HSA-MIR-107	0.183871
