"ensembl_gene_id","description","gene_biotype","gcContent","start_position","end_position","transcript_length","chr","band","gene_name","mirbase_id","geneLength"
"ENSG00000233803","testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]","protein_coding",53.35,9337464,9340284,1179,"Y","p11.2","TSPY4","",2820
"ENSG00000169789","PTPN13 like Y-linked [Source:HGNC Symbol;Acc:HGNC:14024]","protein_coding",41.46,22490397,22514637,1238,"Y","q11.223","PRY","",24240
"ENSG00000129862","variable charge Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:31751]","protein_coding",61.89,14056227,14056958,540,"Y","q11.221","VCY1B","",731
"ENSG00000114374","ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]","protein_coding",38.76,12537650,12860839,2417,"Y","q11.221","USP9Y","",323189
"ENSG00000169807","PTPN13 like Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:21504]","protein_coding",41.48,22071756,22096007,1238,"Y","q11.223","PRY2","",24251
"ENSG00000198692","eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]","protein_coding",35.59,20575776,20593154,1339,"Y","q11.223","EIF1AY","",17378
"ENSG00000183753","basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]","protein_coding",42.58,22973819,23005465,559,"Y","q11.223","BPY2","",31646
"ENSG00000092377","transducin beta like 1 Y-linked [Source:HGNC Symbol;Acc:HGNC:18502]","protein_coding",43.32,6910686,7101970,2396,"Y","p11.2","TBL1Y","",191284
"ENSG00000242389","RNA binding motif protein Y-linked family 1 member E [Source:HGNC Symbol;Acc:HGNC:23916]","protein_coding",37.01,21903618,21918067,1718,"Y","q11.223","RBMY1E","",14449
"ENSG00000238074","testis specific protein Y-linked 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:37472]","protein_coding",53.93,9487313,9489893,945,"Y","p11.2","TSPY9P","",2580
"ENSG00000205944","deleted in azoospermia 2 [Source:HGNC Symbol;Acc:HGNC:15964]","protein_coding",35.44,23219434,23291356,3791,"Y","q11.223","DAZ2","",71922
"ENSG00000236424","testis specific protein Y-linked 10 [Source:HGNC Symbol;Acc:HGNC:37473]","protein_coding",53.34,9527880,9530682,1161,"Y","p11.2","TSPY10","",2802
"ENSG00000169763","PTPN13 like Y-linked pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:34020]","protein_coding",41.74,23681440,23694579,1063,"Y","q11.223","PRYP3","",13139
"ENSG00000234414","RNA binding motif protein Y-linked family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:9912]","protein_coding",39.77,21511372,21549326,1921,"Y","q11.223","RBMY1A1","",37954
"ENSG00000258992","testis specific protein Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:12381]","protein_coding",53.42,9466955,9469749,1161,"Y","p11.2","TSPY1","",2794
"ENSG00000099715","protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]","protein_coding",35.66,5000226,5742224,4710,"Y","p11.2","PCDH11Y","",741998
"ENSG00000226941","RNA binding motif protein Y-linked family 1 member J [Source:HGNC Symbol;Acc:HGNC:23917]","protein_coding",36.85,22403461,22417881,1717,"Y","q11.223","RBMY1J","",14420
